Date,Details,Transaction Type,In,Out,Balance
30/05/2023,AMZNMktplace,amazon.co.uk GBR GBR,,28.58,3525.33
30/05/2023,AMZNMktplace,amazon.co.uk GBR GBR,,12.99,3553.91
30/05/2023,AMZNMKTPLACE AMAZON.CO,AMAZON.CO.UK GBR GBR,,9.99,3566.90
26/05/2023,Transaction Charges,,,7.80,3576.89
26/05/2023,Account Maintenance Fee,,,6.00,3584.69
25/05/2023,Budget Offices The BPM Group Ltd,Outward Faster Payment,,99.00,3590.69
25/05/2023,Budget Offices The BPM Group Ltd,Outward Faster Payment,,99.00,3689.69
25/05/2023,NON-STERLING TRANSACTION,FEE,,0.10,3788.69
25/05/2023,ONLINE COURSES 50108983992,SANTA MONICA CA USA,,3.18,3788.79
25/05/2023,AMZNMktplace,amazon.co.uk GBR GBR,,20.91,3791.97
19/05/2023,NON-STERLING TRANSACTION,FEE,4.33,,3812.88
19/05/2023,VUE TESTING TRAIN SVC,800-511-3478 MN USA,144.92,,3808.55
17/05/2023,TESCO STORES 2843,LUTON GBR GBR,,7.40,3663.63
16/05/2023,"Maidment Judd Limited BE4244 ",Outward Faster Payment,,180.00,3671.03
16/05/2023,AMZNMktplace,amazon.co.uk GBR GBR,,30.00,3851.03
16/05/2023,Dropbox,db.tt cchelp IRL IRL,,9.99,3881.03
15/05/2023,Amazon.co.uk 229IS3WJ5,AMAZON.CO.UK GBR GBR,,14.99,3891.02
15/05/2023,Microsoft G023179610 50138218310,msbill.info GBR GBR,,0.16,3906.01
05/05/2023,Satisfaction Guarantee,,30.00,,3906.17
04/05/2023,AWS EMEA,aws.amazon.co LUX LUX,,27.87,3876.17
03/05/2023,B M 624 - GIPSY LANE,LUTON GBR GBR,,10.04,3904.04
